"","race","date","count"
"1","Asian","2015",14
"2","Asian","2016",15
"3","Asian","2017",16
"4","Asian","2018",21
"5","Asian","2019",19
"6","Asian","2020",8
"7","Black","2015",258
"8","Black","2016",234
"9","Black","2017",224
"10","Black","2018",229
"11","Black","2019",250
"12","Black","2020",103
"13","Hispanic","2015",172
"14","Hispanic","2016",160
"15","Hispanic","2017",179
"16","Hispanic","2018",165
"17","Hispanic","2019",163
"18","Hispanic","2020",63
"19","Native","2015",9
"20","Native","2016",16
"21","Native","2017",22
"22","Native","2018",15
"23","Native","2019",13
"24","Native","2020",3
"25","Other","2015",15
"26","Other","2016",11
"27","Other","2017",6
"28","Other","2018",4
"29","Other","2019",9
"30","Other","2020",3
"31","White","2015",497
"32","White","2016",468
"33","White","2017",459
"34","White","2018",454
"35","White","2019",404
"36","White","2020",194
