"","X","race","date","count"
"1",1,"Asian",2015,14
"2",2,"Asian",2016,15
"3",3,"Asian",2017,16
"4",4,"Asian",2018,21
"5",5,"Asian",2019,19
"7",7,"Black",2015,258
"8",8,"Black",2016,234
"9",9,"Black",2017,224
"10",10,"Black",2018,229
"11",11,"Black",2019,250
"13",13,"Hispanic",2015,172
"14",14,"Hispanic",2016,160
"15",15,"Hispanic",2017,179
"16",16,"Hispanic",2018,165
"17",17,"Hispanic",2019,163
"19",19,"Native",2015,9
"20",20,"Native",2016,16
"21",21,"Native",2017,22
"22",22,"Native",2018,15
"23",23,"Native",2019,13
"25",25,"Other",2015,15
"26",26,"Other",2016,11
"27",27,"Other",2017,6
"28",28,"Other",2018,4
"29",29,"Other",2019,9
"31",31,"White",2015,497
"32",32,"White",2016,468
"33",33,"White",2017,459
"34",34,"White",2018,454
"35",35,"White",2019,404
